trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",20,12,0.5037698366670718,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",25,3,-48.06250601795593,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",20,0,-11.081526029575848,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",25,20,9.279603625980487,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",20,0,-64.41180029891053,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",30,22,13.728032103369928,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",20,11,15.421036607076841,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,0,3.6656537711581314,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",20,1,15.542576794032819,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",20,12,-0.8459090589670268,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",25,13,-28.739939504078947,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",20,8,-20.700371880485594,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",30,6,11.670204569374018,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",20,2,31.093899305115215,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",25,13,19.383865157554713,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",30,5,-27.206552917306034,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",30,6,-54.54416695568678,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",20,0,22.700625115286194,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",25,0,15.085598962361509,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",30,0,8.177204553172588,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,5,-18.480137010364302,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",30,20,17.77777991571522,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",20,0,5.630802956887143,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",25,3,10.193454138800398,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",25,15,-21.161528918682155,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,6,-25.226073123980935,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",30,19,21.166621663906618,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672852}",25,14,-21.027441746623246,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476124}",25,4,17.715220541850346,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2064075371174136}",25,8,25.912196655923143,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623946}",20,1,-1.9096479006895226,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2023000271287771}",35,21,3.9144300863521164,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748933}",30,15,32.11422568730351,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891443}",25,6,17.595137234244078,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19629151402302528}",25,19,-13.977631984524132,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19432859888279502}",25,0,1.6497763642472754,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.19238531289396707}",30,23,9.967543189664834,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1904614597650274}",35,15,36.81461332550421,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1885568451673771}",25,16,13.820490740552744,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.18667127671570335}",30,10,23.02988963424381,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1848045639485463}",20,3,15.817370629852245,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18295651830906084}",30,12,-74.29883872858049,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
170,False,"{'a': 0.5, 'e': 0.18112695312597024}",20,12,15.27555966651882,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17931568359471053}",20,0,-11.51538741404771,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.17752252675876343}",20,1,-57.71662352705516,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.1757473014911758}",25,7,-39.11934859431611,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.17398982847626404}",20,4,-18.467448167888755,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.1722499301915014}",25,11,18.85609206977334,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17052743088958636}",30,8,-28.363092008424136,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.1688221565806905}",20,12,14.63572263584157,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1671339350148836}",20,2,-0.07665149269001081,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473476}",25,0,18.470593512584035,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16380796970808742}",20,0,17.63825226020065,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100654}",25,20,11.510026231759136,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16054819111089647}",30,12,-24.131072107576223,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
183,False,"{'a': 0.5, 'e': 0.1589427091997875}",25,10,11.470550325063844,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778962}",20,6,11.937469474843775,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671173}",20,14,12.256295520753266,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.15422195179384462}",25,14,19.48633743239315,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.15267973227590617}",20,7,-18.917067034640507,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
188,False,"{'a': 0.5, 'e': 0.1511529349531471}",25,11,14.540085204833868,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361563}",30,13,23.649315225859482,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14814499154757946}",25,13,-16.7954047144246,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
191,False,"{'a': 0.5, 'e': 0.14666354163210368}",30,12,20.203236256855963,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14519690621578263}",20,10,3.6197348228231196,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.1437449371536248}",20,13,11.467777512483826,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14230748778208857}",20,5,30.67298344850449,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
