trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.7, 'e': 0.5433508690744998}",30,0,-61.625038884731644,"{0: 23, 1: 1, 2: 3, 3: 3, 4: 0}",0
62,False,"{'a': 0.7, 'e': 0.5379444375946745}",25,4,-53.88617205465584,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.5325918010068972}",25,0,-36.821531865249675,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.7, 'e': 0.5272924240430485}",20,7,18.474812465836898,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.522045776761016}",30,15,-17.358883172272012,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.7, 'e': 0.5168513344916993}",20,0,-24.09878979157303,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
67,False,"{'a': 0.7, 'e': 0.5117085777865424}",20,6,5.434349853029689,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.5066169923655897}",30,0,-51.9701275958685,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.7, 'e': 0.5015760690660556}",20,0,24.426773774526115,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.7, 'e': 0.4965853037914095}",25,0,-14.161578121803693,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.7, 'e': 0.49164419746096516}",25,8,14.426173499822712,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.4867522559599717}",25,7,-32.5057606664145,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.7, 'e': 0.48190899009020244}",20,0,-86.1379246355392,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
74,False,"{'a': 0.7, 'e': 0.47711391552103444}",30,9,15.489369323348695,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.47236655274101474}",20,0,-13.085546892906132,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
76,False,"{'a': 0.7, 'e': 0.46766642700990924}",25,0,27.63204523593031,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.7, 'e': 0.46301306831122807}",20,3,-145.16398019394177,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 3}",1
78,False,"{'a': 0.7, 'e': 0.45840601130522357}",20,8,-44.320252014821705,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.7, 'e': 0.45384479528235583}",20,0,-11.569178431048181,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
80,False,"{'a': 0.7, 'e': 0.44932896411722156}",20,6,-113.98341280510716,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 3}",1
