trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,9,-38.69594507256218,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,11,8.88468693677499,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.522045776761016}",30,0,-46.791520806131544,"{0: 25, 1: 0, 2: 2, 3: 3, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5168513344916993}",25,0,-37.40170947421777,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,0,-71.37051415798219,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.5066169923655897}",20,0,-24.730174765072682,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.5015760690660556}",25,1,-83.714560971348,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.4965853037914095}",30,20,8.954577951929952,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.49164419746096516}",25,0,-11.34328451777768,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,10,-4.666087428674904,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",25,18,0.8372295200262965,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.47711391552103444}",25,17,-15.427697611499177,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.47236655274101474}",25,0,-83.34300225186242,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,7,-2.981754433698522,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",30,10,-6.257930674324873,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.45840601130522357}",30,6,7.899472985458647,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,0,-17.689149322582157,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,9,19.983236133800613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,12,12.463756730295653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,6,3.4192783737950254,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",30,0,6.433257648705275,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,11,15.47648074013291,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,0,-25.102535807433654,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,11,6.96164143923407,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.418951549247639}",25,14,16.705322884357567,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,0,-78.6605934029269,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,5,-12.641945912682344,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,16,-36.18624853463213,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",35,18,-45.663887553483384,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.3985190410845142}",20,12,-0.7062296973528543,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39455371037160114}",20,10,-9.02885169441883,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",30,12,-51.84692003126117,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,10,-6.102535829179718,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,14,-10.924243381739187,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,0,7.398925137471812,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,0,-46.33002542699971,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,3,-54.17024588344844,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",30,17,13.287546682999455,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
